testID    winner    count    value
1	  WHITE	    13	     20	
2	  WHITE	    9	     22	
3	  BLACK	    10	     236	
4	  WHITE	    4	     10	
5	  WHITE	    5	     13	
6	  BLACK	    10	     232	
7	  BLACK	    6	     135	
8	  BLACK	    1	     22	
9	  WHITE	    5	     7	
10	  BLACK	    7	     156	
11	  WHITE	    15	     35	
12	  BLACK	    15	     314	
13	  WHITE	    11	     14	
14	  WHITE	    7	     19	
15	  BLACK	    6	     134	
16	  WHITE	    3	     8	
17	  WHITE	    1	     6	
18	  WHITE	    4	     12	
19	  BLACK	    2	     44	
20	  WHITE	    15	     46	
21	  BLACK	    5	     110	
22	  BLACK	    15	     288	
23	  WHITE	    11	     19	
24	  WHITE	    2	     6	
25	  WHITE	    11	     27	
26	  BLACK	    13	     303	
27	  WHITE	    12	     21	
28	  BLACK	    14	     326	
29	  WHITE	    9	     23	
30	  WHITE	    4	     11	
31	  BLACK	    4	     90	
32	  BLACK	    9	     205	
33	  BLACK	    4	     88	
34	  WHITE	    2	     7	
35	  WHITE	    6	     18	
36	  BLACK	    4	     89	
37	  BLACK	    8	     184	
38	  BLACK	    8	     185	
39	  BLACK	    8	     182	
40	  WHITE	    15	     58	
41	  BLACK	    11	     255	
42	  BLACK	    13	     305	
43	  WHITE	    2	     7	
44	  WHITE	    13	     21	
45	  WHITE	    15	     31	
46	  BLACK	    15	     351	
47	  BLACK	    7	     161	
48	  BLACK	    9	     205	
49	  BLACK	    12	     282	
50	  BLACK	    9	     206	
51	  WHITE	    9	     20	
52	  WHITE	    5	     15	
53	  WHITE	    2	     6	
54	  WHITE	    6	     15	
55	  BLACK	    1	     24	
56	  BLACK	    14	     335	
57	  BLACK	    9	     205	
58	  WHITE	    15	     61	
59	  WHITE	    15	     20	
60	  BLACK	    13	     295	
61	  BLACK	    15	     340	
62	  WHITE	    6	     11	
63	  WHITE	    10	     17	
64	  WHITE	    6	     12	
65	  BLACK	    6	     136	
66	  BLACK	    4	     93	
67	  BLACK	    15	     325	
68	  BLACK	    4	     90	
69	  BLACK	    3	     67	
70	  WHITE	    14	     30	
71	  WHITE	    15	     28	
72	  WHITE	    6	     14	
73	  WHITE	    5	     13	
74	  BLACK	    9	     205	
75	  WHITE	    7	     16	
76	  WHITE	    5	     15	
77	  WHITE	    2	     9	
78	  BLACK	    15	     310	
79	  BLACK	    15	     340	
80	  WHITE	    1	     7	
81	  WHITE	    8	     19	
82	  WHITE	    15	     25	
83	  BLACK	    13	     307	
84	  WHITE	    6	     17	
85	  BLACK	    8	     184	
86	  BLACK	    15	     296	
87	  BLACK	    6	     134	
88	  BLACK	    2	     45	
89	  BLACK	    5	     112	
90	  BLACK	    14	     329	
91	  WHITE	    4	     14	
92	  WHITE	    6	     25	
93	  WHITE	    8	     13	
94	  BLACK	    8	     184	
95	  WHITE	    9	     19	
96	  WHITE	    5	     15	
97	  WHITE	    6	     17	
98	  WHITE	    1	     6	
99	  WHITE	    4	     12	
100	  WHITE	    15	     32	
final % is 47.0
